Employee ID,Age,Department,Job Role,Distance From Home,Monthly Income,Years At Company,Attrition
EMP-B995BDDF,42,Sales,Sales Executive,6,4929,0,No
EMP-651E6592,18,Engineering,Senior Software Engineer,1,4770,0,No
EMP-463B9B8A,54,Engineering,Senior Software Engineer,10,4283,0,No
EMP-53B011B8,52,Customer Support,Support Director,6,7876,9,No
EMP-2964ED27,28,Research & Development,Research Scientist,1,4554,5,No
EMP-6B690AC7,38,Sales,Regional Manager,28,9137,4,No
EMP-3BBDFDAD,53,Sales,Regional Manager,6,8114,3,No
EMP-3713DBA3,36,Sales,Regional Manager,32,10305,11,No
EMP-43D771A6,40,Customer Support,Support Specialist,1,3252,1,Yes
EMP-44C547BF,32,Customer Support,Support Specialist,1,5019,5,No
EMP-6E843DFC,46,Sales,Regional Manager,13,9968,8,Yes
EMP-7A5C0455,29,Research & Development,Research Director,13,8927,8,Yes
EMP-6201EEA4,37,Customer Support,Support Specialist,4,4140,7,No
EMP-E575BCF3,43,Sales,Regional Manager,19,9357,2,Yes
EMP-B59F374D,46,Customer Support,Support Director,1,10576,11,No
EMP-04E9DCAA,51,Human Resources,HR Generalist,3,4025,11,No
EMP-F78F9B2E,41,Human Resources,HR Generalist,30,3843,4,No
EMP-AD9346DD,29,Research & Development,Manufacturing Director,3,12110,1,No
EMP-CF8AE008,49,Sales,Sales Executive,15,4949,7,No
EMP-BFAA3C10,37,Customer Support,Support Specialist,1,2923,3,Yes
EMP-B48B4E80,47,Research & Development,Manufacturing Director,4,9423,0,Yes
EMP-4E5900CF,42,Human Resources,HR Generalist,9,3323,0,No
EMP-AE7E2129,40,Human Resources,HR Business Partner,1,5391,8,No
EMP-CA076821,33,Customer Support,Support Director,1,9878,15,No
EMP-1957F901,23,Customer Support,Support Specialist,16,2311,5,No
EMP-80F1AF15,30,Customer Support,Customer Success Manager,15,9343,4,No
EMP-C4B7C224,46,Sales,Sales Executive,1,3808,3,No
EMP-34C94BAE,37,Sales,Regional Manager,1,9253,0,No
EMP-3B46B9CF,41,Human Resources,HR Business Partner,13,5007,4,No
EMP-8CF413CB,36,Human Resources,HR Generalist,3,4482,10,No
EMP-3A281E03,40,Human Resources,HR Director,1,9615,4,No
EMP-D09E0309,38,Sales,Sales Executive,9,4597,5,No
EMP-CD9C7BA9,59,Human Resources,HR Generalist,8,3079,11,Yes
EMP-AEBFE46B,59,Research & Development,Manufacturing Director,3,8630,1,Yes
EMP-D96FBDD9,18,Engineering,Engineering Manager,8,8969,0,No
EMP-5AC70845,41,Customer Support,Support Specialist,3,6251,8,Yes
EMP-C61B823B,29,Research & Development,Laboratory Technician,24,4590,8,No
EMP-49F56EB5,24,Customer Support,Support Director,26,11797,6,Yes
EMP-B378A081,49,Research & Development,Laboratory Technician,43,3436,0,Yes
EMP-140BCE0D,20,Sales,Sales Representative,35,5624,2,Yes
EMP-072D9888,36,Research & Development,Laboratory Technician,5,5485,1,No
EMP-D5F49F92,38,Customer Support,Customer Success Manager,14,9656,14,No
EMP-ED6FCD78,33,Research & Development,Research Scientist,5,4747,0,No
EMP-25660BBA,39,Research & Development,Research Director,2,10217,5,Yes
EMP-5416BC61,22,Human Resources,HR Business Partner,1,7533,4,No
EMP-77C257C2,53,Research & Development,Manufacturing Director,7,9738,9,No
EMP-1C512B80,58,Sales,Sales Representative,20,6106,2,No
EMP-E249D720,44,Engineering,Software Engineer,12,5642,1,Yes
EMP-05347482,48,Engineering,Senior Software Engineer,4,3889,2,No
EMP-8DF008DF,35,Research & Development,Research Scientist,7,4861,7,Yes
EMP-AAC0DBED,54,Research & Development,Research Director,19,7943,14,No
EMP-8F13ADB6,20,Sales,Sales Representative,6,3933,2,No
EMP-E3B80B5E,18,Customer Support,Customer Success Manager,10,9493,0,No
EMP-949FEB11,41,Customer Support,Customer Success Manager,2,8472,2,No
EMP-97870A9C,37,Sales,Sales Representative,11,5146,0,Yes
EMP-F26E5FC6,32,Human Resources,HR Generalist,1,3048,0,Yes
EMP-A713BD08,36,Engineering,Senior Software Engineer,2,4757,2,No
EMP-48A365BC,57,Human Resources,HR Business Partner,1,6042,8,No
EMP-753B11E1,31,Customer Support,Support Specialist,20,4256,12,No
EMP-4DF4BF4B,36,Customer Support,Support Specialist,16,3734,6,No
EMP-8E306904,32,Engineering,Software Engineer,4,3309,3,No
EMP-10129107,22,Customer Support,Support Director,6,11240,4,No
EMP-0F5C7CB4,43,Research & Development,Manufacturing Director,7,9973,3,No
EMP-BF799C14,36,Human Resources,HR Director,7,8453,1,No
EMP-5E8A97CA,30,Sales,Regional Manager,1,7893,1,No
EMP-E2A104BD,31,Customer Support,Customer Success Manager,1,8302,11,No
EMP-5F192CC4,54,Human Resources,HR Business Partner,15,7057,3,No
EMP-729452EE,38,Customer Support,Support Specialist,8,2966,6,Yes
EMP-60261187,27,Engineering,Engineering Manager,3,9371,2,No
EMP-BBC24B54,47,Research & Development,Manufacturing Director,4,11891,21,No
EMP-BBF0D48B,24,Sales,Sales Representative,1,4675,0,No
EMP-96797196,31,Engineering,Engineering Manager,2,9015,1,No
EMP-72596654,38,Human Resources,HR Business Partner,5,5002,20,No
EMP-CF95FD87,35,Research & Development,Research Director,34,8510,10,No
EMP-22C29ECE,32,Research & Development,Laboratory Technician,1,4906,5,No
EMP-A6BA765B,38,Customer Support,Customer Success Manager,8,10501,1,Yes
EMP-1FEA24FA,31,Research & Development,Manufacturing Director,3,10284,2,No
EMP-7E5C89D7,21,Research & Development,Research Scientist,1,4057,3,Yes
EMP-3C800C1A,44,Research & Development,Research Director,1,7606,3,No
EMP-004CBAB6,31,Sales,Sales Representative,4,4056,0,No
EMP-00C63833,48,Customer Support,Support Specialist,2,3307,5,No
EMP-D64C101B,43,Engineering,Senior Software Engineer,6,7729,2,No
EMP-741E52B4,43,Research & Development,Laboratory Technician,17,3756,16,No
EMP-F868B33A,41,Sales,Sales Representative,27,3275,0,Yes
EMP-89D4493C,38,Customer Support,Customer Success Manager,8,9413,9,Yes
EMP-8B9840D5,41,Research & Development,Laboratory Technician,2,3505,0,No
EMP-B61F188A,41,Engineering,Engineering Manager,10,9094,3,No
EMP-23109295,46,Customer Support,Support Director,4,9208,8,No
EMP-9E1EF4F0,18,Engineering,Engineering Manager,6,8390,0,No
EMP-AD6DAB8B,38,Customer Support,Customer Success Manager,2,11611,11,No
EMP-8F17047A,46,Customer Support,Customer Success Manager,23,6946,4,No
EMP-16D52564,23,Engineering,Senior Software Engineer,1,7372,5,No
EMP-3B916C3B,44,Research & Development,Manufacturing Director,22,12324,7,No
EMP-C5216350,33,Customer Support,Customer Success Manager,2,8580,6,No
EMP-EDA411F4,38,Human Resources,HR Business Partner,14,5426,10,Yes
EMP-60038108,48,Human Resources,HR Generalist,1,3387,9,No
EMP-212EB31A,35,Human Resources,HR Director,15,8425,0,Yes
EMP-CA546184,45,Research & Development,Research Scientist,12,2893,5,No
EMP-28BC564B,42,Research & Development,Research Scientist,2,6252,2,Yes
EMP-4A483862,20,Engineering,Senior Software Engineer,6,7795,2,No
EMP-4CCD55AD,40,Engineering,Software Engineer,7,2649,4,Yes
EMP-33DF74D2,39,Engineering,Senior Software Engineer,11,6870,12,No
EMP-C9B5F00F,30,Customer Support,Support Director,8,10165,4,Yes
EMP-4A174F31,53,Customer Support,Customer Success Manager,27,8986,12,No
EMP-CF1D8F52,28,Human Resources,HR Business Partner,41,5849,9,No
EMP-C4A0B7D8,38,Engineering,Engineering Manager,8,10913,2,No
EMP-BA865386,36,Customer Support,Support Director,16,9087,0,No
EMP-E530013B,27,Engineering,Software Engineer,7,2014,9,No
EMP-4C086C01,25,Engineering,Software Engineer,13,2445,3,No
EMP-9DA04FE5,35,Engineering,Engineering Manager,1,7796,0,Yes
EMP-34CD7DB4,18,Engineering,Software Engineer,24,3934,0,No
EMP-4AE90B77,56,Customer Support,Support Specialist,1,5351,5,No
EMP-6A187C8C,35,Customer Support,Support Director,1,8272,17,No
EMP-8E93D949,63,Sales,Regional Manager,1,9671,6,No
EMP-76C801AC,39,Engineering,Software Engineer,2,3826,1,Yes
EMP-A30BCBD2,37,Engineering,Senior Software Engineer,8,5347,0,No
EMP-6ECE26D5,35,Human Resources,HR Business Partner,7,7804,2,No
EMP-A4F90238,50,Engineering,Senior Software Engineer,1,3511,1,No
EMP-8EBFC64B,23,Engineering,Senior Software Engineer,10,5066,2,No
EMP-69B79B45,47,Engineering,Software Engineer,1,5525,1,No
EMP-E119B1B7,45,Sales,Sales Representative,1,2645,0,Yes
EMP-9D3FD14B,32,Sales,Regional Manager,10,10187,1,Yes
EMP-071FE084,35,Sales,Sales Executive,12,3550,9,No
EMP-D6AF6579,34,Sales,Regional Manager,11,10991,1,Yes
EMP-9C1211F4,43,Research & Development,Research Director,1,9228,0,No
EMP-77D11A05,41,Customer Support,Support Specialist,5,2498,11,No
EMP-FF35AF82,32,Human Resources,HR Business Partner,3,7258,2,Yes
EMP-BE513ECA,22,Customer Support,Support Director,9,10327,2,No
EMP-01CD11C4,18,Research & Development,Manufacturing Director,3,11635,0,Yes
EMP-322E9EC6,32,Sales,Sales Representative,20,4478,3,No
EMP-F265F4DC,39,Engineering,Senior Software Engineer,5,6180,0,No
EMP-0C4AE6F2,41,Research & Development,Laboratory Technician,10,2000,1,No
EMP-131836E1,39,Research & Development,Laboratory Technician,41,3779,3,No
EMP-3B8CB70A,32,Human Resources,HR Director,1,8666,12,No
EMP-11F89109,39,Sales,Regional Manager,3,8425,4,No
EMP-2E535891,48,Human Resources,HR Director,2,10167,0,No
EMP-C8A58BF7,40,Human Resources,HR Generalist,9,5179,5,No
EMP-6BA74557,19,Human Resources,HR Generalist,7,2464,0,No
EMP-6300AEAF,43,Engineering,Software Engineer,1,3129,4,No
EMP-3766F0D6,31,Human Resources,HR Director,3,7912,2,No
EMP-433C973E,28,Engineering,Engineering Manager,8,10864,3,No
EMP-232393D9,42,Research & Development,Manufacturing Director,13,9821,1,No
EMP-F988879D,32,Customer Support,Customer Success Manager,6,9746,4,No
EMP-8C1DC528,49,Customer Support,Customer Success Manager,1,8756,0,No
EMP-D20E79E9,37,Research & Development,Laboratory Technician,11,6124,2,No
EMP-6686B924,45,Engineering,Software Engineer,16,3325,5,No
EMP-328F36F1,44,Customer Support,Support Director,4,7715,0,No
EMP-6126A162,37,Human Resources,HR Generalist,2,4744,3,No
EMP-E4C22D77,41,Human Resources,HR Generalist,16,4732,5,No
EMP-FD1E1FEE,46,Human Resources,HR Business Partner,2,6551,3,No
EMP-39A3C4BA,42,Customer Support,Support Director,1,9849,4,No
EMP-A5CAA257,27,Customer Support,Support Specialist,25,5263,9,No
EMP-4E05C743,37,Research & Development,Laboratory Technician,19,4817,9,No
EMP-6EDE2AA9,47,Engineering,Senior Software Engineer,1,5380,4,No
EMP-B26EDB5A,33,Research & Development,Research Director,1,9228,5,No
EMP-6E94F508,50,Engineering,Senior Software Engineer,1,4926,1,No
EMP-1CD725D4,52,Sales,Sales Representative,3,4235,4,No
EMP-69D28345,40,Research & Development,Manufacturing Director,2,10667,0,No
EMP-204935C3,38,Human Resources,HR Business Partner,27,7278,8,No
EMP-6EB45F7A,32,Human Resources,HR Business Partner,6,7691,4,No
EMP-F18934F7,33,Customer Support,Customer Success Manager,5,11344,6,No
EMP-A77AAA83,33,Engineering,Senior Software Engineer,4,5661,1,No
EMP-D7F2AF48,27,Research & Development,Laboratory Technician,1,3078,0,No
EMP-0C37C521,37,Human Resources,HR Generalist,4,4281,5,No
EMP-0E505E6F,47,Research & Development,Research Scientist,28,3743,3,No
EMP-630B086C,26,Engineering,Senior Software Engineer,47,6458,1,No
EMP-0AB3E177,39,Customer Support,Support Director,9,10190,3,No
EMP-51134E8C,31,Sales,Sales Executive,2,3362,1,Yes
EMP-76A9D4EC,31,Human Resources,HR Generalist,1,5426,13,No
EMP-42565B98,52,Customer Support,Support Specialist,11,3315,0,Yes
EMP-5CF02898,32,Sales,Regional Manager,2,10359,3,No
EMP-B89DB13C,53,Research & Development,Research Director,1,11755,10,Yes
EMP-87ECCD7F,31,Sales,Regional Manager,21,9134,13,No
EMP-C9D5E795,40,Engineering,Senior Software Engineer,10,6401,4,No
EMP-8137E64E,36,Sales,Sales Representative,4,3042,1,No
EMP-C0177833,37,Engineering,Software Engineer,1,6153,1,No
EMP-AC551444,32,Engineering,Senior Software Engineer,19,6268,3,Yes
EMP-9A5C520C,63,Sales,Sales Executive,17,3362,2,Yes
EMP-EEB8A4E2,44,Customer Support,Customer Success Manager,3,11816,10,Yes
EMP-CE18300A,43,Research & Development,Laboratory Technician,19,5330,10,No
EMP-C187BF6D,46,Engineering,Engineering Manager,11,10208,5,No
EMP-415309B1,51,Customer Support,Support Specialist,1,4778,10,No
EMP-CB7A650A,36,Engineering,Senior Software Engineer,4,6176,6,No
EMP-01452DE3,41,Human Resources,HR Director,17,9127,3,No
EMP-FCB9C8A7,39,Human Resources,HR Director,9,9655,1,No
EMP-7FD65E29,44,Customer Support,Support Director,15,12195,0,Yes
EMP-AD6F4678,40,Research & Development,Research Scientist,32,5892,2,Yes
EMP-114241DF,44,Sales,Sales Executive,1,4223,13,No
EMP-9B9563A4,33,Customer Support,Support Specialist,3,4232,6,No
EMP-5B0D3A1A,39,Engineering,Senior Software Engineer,4,5159,4,No
EMP-6A9E366F,32,Engineering,Senior Software Engineer,14,6452,0,Yes
EMP-03C92A92,53,Human Resources,HR Director,11,9521,2,No
EMP-E3727A21,23,Engineering,Software Engineer,1,2000,5,No
EMP-279DA16F,27,Human Resources,HR Director,1,10450,5,No
EMP-FC1EA86A,25,Research & Development,Research Director,30,10646,0,Yes
EMP-E3FBCE0E,44,Research & Development,Research Scientist,5,3880,5,No
EMP-C5FA5B9B,22,Research & Development,Laboratory Technician,41,3169,2,Yes
EMP-E281209A,35,Human Resources,HR Director,2,10022,0,No
EMP-B7C34BDD,25,Customer Support,Customer Success Manager,19,11332,3,No
EMP-B4445634,41,Engineering,Engineering Manager,14,10148,9,No
EMP-F9CEE8AC,44,Engineering,Senior Software Engineer,1,7594,0,No
EMP-69AB5B30,39,Engineering,Senior Software Engineer,15,6850,3,Yes
EMP-2973F283,31,Sales,Sales Representative,2,6161,3,No
EMP-020A79EA,39,Customer Support,Customer Success Manager,3,8782,7,Yes
EMP-7599A3F5,33,Research & Development,Laboratory Technician,1,2000,0,No
EMP-ACB9CD6E,33,Human Resources,HR Director,9,6691,1,Yes
EMP-B383424F,45,Research & Development,Research Director,15,10110,0,No
EMP-EBEA8273,28,Engineering,Senior Software Engineer,2,5942,10,No
EMP-72CC2474,37,Customer Support,Customer Success Manager,9,8209,6,No
EMP-85ED92E0,35,Engineering,Software Engineer,3,4032,3,No
EMP-27C713A4,35,Engineering,Senior Software Engineer,1,5181,0,No
EMP-CEF55081,27,Sales,Sales Executive,8,3662,5,No
EMP-A88FCB74,32,Engineering,Senior Software Engineer,1,6687,0,No
EMP-507CEF9E,51,Engineering,Engineering Manager,1,10709,13,Yes
EMP-0C9A6677,38,Sales,Sales Representative,12,3223,10,No
EMP-29F05DCC,46,Sales,Sales Representative,4,4762,8,No
EMP-EF7D879C,51,Sales,Regional Manager,6,9837,5,No
EMP-52EC5D2C,55,Engineering,Senior Software Engineer,1,6237,0,Yes
EMP-6EDCC424,31,Customer Support,Customer Success Manager,20,9019,1,No
EMP-81592989,43,Engineering,Engineering Manager,10,8911,3,No
EMP-CA705531,55,Sales,Sales Executive,2,4523,28,No
EMP-15C1E1D7,38,Research & Development,Manufacturing Director,2,9744,5,No
EMP-FE91244A,35,Engineering,Software Engineer,20,2000,6,Yes
EMP-965878E5,33,Customer Support,Support Specialist,4,5888,2,No
EMP-D1840A93,40,Human Resources,HR Director,5,10856,6,Yes
EMP-E7A23E07,48,Engineering,Software Engineer,23,3953,2,No
EMP-1A31F4C9,44,Sales,Sales Representative,24,2108,1,No
EMP-0E577D28,52,Research & Development,Research Director,13,11256,0,No
EMP-713140E9,42,Human Resources,HR Director,1,9912,1,No
EMP-6747F413,37,Engineering,Senior Software Engineer,2,7407,10,No
EMP-13BEEFE2,45,Research & Development,Research Director,4,6181,4,No
EMP-0730A9EB,34,Engineering,Software Engineer,34,2656,1,No
EMP-94211A0C,25,Customer Support,Support Director,14,10992,0,No
EMP-42F25E12,37,Sales,Sales Representative,2,4572,0,No
EMP-3A569A84,38,Engineering,Senior Software Engineer,4,4460,8,No
EMP-789EAAED,22,Customer Support,Customer Success Manager,9,9086,4,No
EMP-841D68EE,34,Human Resources,HR Director,1,9180,6,No
EMP-DDDDC250,34,Customer Support,Support Director,18,12092,8,No
EMP-5C28663C,48,Engineering,Software Engineer,2,4286,0,No
EMP-9A905096,37,Engineering,Senior Software Engineer,7,5955,13,No
EMP-B5C88293,45,Customer Support,Customer Success Manager,3,9503,3,No
EMP-CA37701C,47,Human Resources,HR Generalist,6,4415,3,No
EMP-832BFA5C,58,Research & Development,Research Director,1,9432,0,No
EMP-11DD14E0,49,Engineering,Software Engineer,2,2752,5,No
EMP-AE0A96B2,31,Engineering,Engineering Manager,20,11896,0,No
EMP-67F74491,46,Engineering,Senior Software Engineer,28,6594,5,No
EMP-405519EC,62,Research & Development,Research Director,20,9530,4,No
EMP-7C8E5B04,49,Research & Development,Manufacturing Director,2,11024,5,No
EMP-089501FF,54,Engineering,Software Engineer,1,2624,5,No
EMP-C1F02246,37,Engineering,Software Engineer,20,4394,7,No
EMP-AA0207C2,54,Engineering,Engineering Manager,21,10144,2,No
EMP-5C707FE3,49,Sales,Sales Representative,16,2526,7,No
EMP-CEE7AB04,35,Human Resources,HR Business Partner,17,7650,0,No
EMP-5C720A63,36,Engineering,Engineering Manager,3,9618,2,Yes
EMP-BB359C88,53,Human Resources,HR Director,4,8583,2,No
EMP-9245023D,31,Engineering,Senior Software Engineer,2,4412,0,No
EMP-047EA261,54,Engineering,Engineering Manager,9,10811,3,Yes
EMP-0CACBCE1,47,Sales,Sales Executive,7,3610,3,No
EMP-8BC2F378,24,Human Resources,HR Generalist,8,2025,3,No
EMP-5E876B6E,51,Engineering,Software Engineer,16,4676,6,No
EMP-B8EA869E,45,Sales,Sales Representative,2,4337,13,No
EMP-F0C14C28,30,Human Resources,HR Generalist,6,3663,1,Yes
EMP-B3BE83CA,28,Sales,Sales Representative,16,2675,3,No
EMP-5977B81B,47,Engineering,Software Engineer,12,2115,1,Yes
EMP-819A5692,28,Engineering,Engineering Manager,1,9330,5,No
EMP-A31AFBDD,39,Research & Development,Research Scientist,12,2399,0,Yes
EMP-453F4B03,22,Customer Support,Customer Success Manager,32,10128,3,No
EMP-2A23B0EF,40,Research & Development,Research Director,1,11236,5,No
EMP-05C5F50F,39,Research & Development,Research Scientist,17,4651,10,No
EMP-F32BD6BF,30,Human Resources,HR Business Partner,9,5204,2,No
EMP-C8208033,25,Sales,Sales Representative,15,3168,1,No
EMP-4B01A76A,35,Customer Support,Support Specialist,11,5497,0,Yes
EMP-3B8E8153,29,Human Resources,HR Director,8,12174,0,No
EMP-15D83E9D,44,Engineering,Engineering Manager,2,10096,0,No
EMP-CF0DD533,38,Human Resources,HR Generalist,9,3823,3,No
EMP-6FC15879,32,Engineering,Software Engineer,9,2356,3,Yes
EMP-D1527988,29,Customer Support,Customer Success Manager,5,11566,6,No
EMP-7B05ADC2,43,Human Resources,HR Generalist,3,5954,0,No
EMP-E75A5567,32,Engineering,Senior Software Engineer,2,4782,2,Yes
EMP-026C9435,38,Sales,Regional Manager,1,8676,8,No
EMP-139FAA58,40,Human Resources,HR Generalist,21,2132,5,No
EMP-3AC18DAA,18,Human Resources,HR Generalist,4,4448,0,No
EMP-3B2A4159,54,Customer Support,Customer Success Manager,6,10102,0,No
EMP-52DFD2CA,43,Research & Development,Laboratory Technician,1,4091,5,No
EMP-D7099CFB,39,Sales,Sales Representative,1,2303,2,No
EMP-E56B127D,30,Sales,Regional Manager,10,11083,7,No
EMP-966CA4C3,27,Research & Development,Laboratory Technician,48,3620,9,No
EMP-645672F9,50,Human Resources,HR Director,7,9770,4,No
EMP-8320C999,39,Research & Development,Research Scientist,1,3629,8,No
EMP-2712A91C,45,Human Resources,HR Director,1,10748,1,No
EMP-921B389B,30,Human Resources,HR Generalist,1,2402,12,No
EMP-06D6A3B9,19,Engineering,Senior Software Engineer,5,6609,1,No
EMP-C648DD19,41,Human Resources,HR Generalist,25,6991,3,No
EMP-6FD09D56,38,Sales,Sales Executive,4,3881,10,No
EMP-96073412,40,Research & Development,Research Director,15,9986,1,No
EMP-6B42E791,36,Customer Support,Customer Success Manager,1,8693,5,Yes
EMP-FD1EA56C,38,Engineering,Software Engineer,10,3989,8,No
EMP-243897E6,37,Sales,Sales Representative,9,4981,7,No
EMP-258999DE,38,Human Resources,HR Director,5,8025,0,No
EMP-9833C4DF,31,Human Resources,HR Generalist,1,3775,0,No
EMP-D75416F9,38,Engineering,Software Engineer,33,4635,2,No
EMP-8A3BAA39,38,Customer Support,Customer Success Manager,5,7229,0,No
EMP-982BB5F0,25,Research & Development,Laboratory Technician,9,4719,5,No
EMP-A163CD01,35,Engineering,Engineering Manager,1,11388,17,No
EMP-5556B60A,39,Engineering,Software Engineer,41,3595,1,Yes
EMP-3E248E41,31,Sales,Sales Representative,11,3637,0,No
EMP-A119FB8A,39,Sales,Sales Executive,16,4003,4,No
EMP-DA97251C,47,Customer Support,Support Specialist,7,2218,2,No
EMP-82098D17,24,Human Resources,HR Director,4,9330,2,No
EMP-93D61750,43,Customer Support,Customer Success Manager,14,10510,0,No
EMP-F68E2A21,32,Research & Development,Research Director,1,6490,1,No
EMP-79B5F9C4,32,Engineering,Engineering Manager,7,10070,1,No
EMP-1A19F3F6,37,Human Resources,HR Generalist,1,4695,3,No
EMP-AC4D4B1D,49,Research & Development,Research Director,1,9409,3,No
EMP-55EB2C6E,33,Research & Development,Manufacturing Director,13,8538,3,Yes
EMP-5BDA7AEA,24,Human Resources,HR Director,6,7663,6,No
EMP-A814B4D5,31,Human Resources,HR Generalist,11,5247,2,No
EMP-FDACEF87,44,Research & Development,Laboratory Technician,1,3414,11,No
EMP-2559E076,59,Engineering,Software Engineer,10,3273,11,No
EMP-45B9FA44,51,Customer Support,Support Specialist,1,5873,3,Yes
EMP-DA1826F4,42,Human Resources,HR Generalist,7,3186,5,No
